text,label,username,likes,datetime,data_type
Ijin share,positive,username,0,2020-03-03,development
@username,neutral,username,0,2020-03-03,development
@username perlune cuci tangan mbing . santai wae,neutral,username,1,2020-03-03,development
Pegawai PUSKESMAS?,neutral,username,0,2020-03-06,development
Kalo untuk para pegawai RS terutama bagian pendaftaran apakah wajib memakai masker?,neutral,username,0,2020-03-06,development
Itu tangan siapa min..maacih inpo cuci tangana 🙌,positive,username,0,2020-03-11,development
bagaimana menjaga imunitas tubuh kita supaya baik ? Dan bagaimana cara meningkatkan imunitas tubuh kita ?,neutral,username,0,2020-03-11,development
mohon beli disinfektan di manakah @username krn kita cari sekarang jg tdk gampang 🙏,negative,username,1,2020-03-16,development
info valid kondisi ter update ttg Corona di Smg bisa lihat dimana Pak?,neutral,username,0,2020-03-16,development
Waaahhh bu RT nya siapa nih.. 🤔😭,negative,username,0,2020-03-16,development
❤️❤️❤️❤️,positive,username,0,2020-03-16,development
Minta tolong fasilitas penyemprotan desinfectan ke mushola alma'ruf puspowarno selatan II apakah boleh?,negative,username,0,2020-03-16,development
Min saran untuk pemyemprotan di pasar pasar tradisional juga,negative,username,3,2020-03-16,development
"Gubernur pak Ganjar menyarakan agar tidak mengunjungi keramaian.. seperti pasar, mall dll. kalo pasar mgkin usaha individu, tapi kita yg kerja kd kryawan di mall gmn pak? kalo toko ga ada perintah tutup ya kita tetep masuk 🙏 @username",neutral,username,1,2020-03-16,development
Apakah acara ini tetap jalan? Atau di tunda?,neutral,username,0,2020-03-16,development
"Tolong diedukasikan ke banyak orang. TIDAK PERLU HEBOH BELI HAND SANITIZER YG HARGANYA AUJUBILAH. mending belilah ALKOHOL 70% di kimia farma. Trus dibagi di botol spray yg 50 cc an aja. Spy dg sering di refill, resiko kadar alkohol nya menurun krn penguapan dikit. Inget kan gaess.. Dimana2 dokter bedah akan mensterilkan diri dan bagian pasien yg mau dioperasi dg alkohol 70% dan bethadine. Nggak pernah pake larutan hand sanitizer. Spy efek sterilisasinya lebih maksimal. Coba bayangkan, Di youtube banyak panduan membuat HS dg menyampur 1 bag alkohol 70% + 1 bag aloe vera gel. Jadi jika mau bikin 1 liter alkohol, ditambah aloe vera gel 1 liter pula.. Setelah dicampur, apakah kadar alkoholnya masih 70% ? Pasti turun.. Tapi kalo pake alkohol saja, kulit jadi kering.. Pernah salaman dg dokter bedah ? Kulitnya halus tuh. Jd kalo mau halus, sebelum tidur oleslah minyak zaitun. be smart. Kita membutuhkan penyeteril tangan yg berfungsi maksimal. Berkhasiat dan lebih murah pula. Hrg alkohol 70% di kimia farma Rp. 50 rb/liter.",negative,username,0,2020-03-17,development
"Maaf mau tanya,, untuk sekolah2 bisa tidak ya? Mengadakan program penyemprotan disinfektan? Karena anak2 rentan thd virus. Terima kasih",negative,username,0,2020-03-17,development
Sekolah yg skrg muridny libur Mohon disemprot disinfectant juga min biar steril,negative,username,0,2020-03-17,development
Min aq lg batuk msh aktif kerja pngn pake masker nyari dmn2 kosong.. pliss sediain dong,negative,username,1,2020-03-18,development
@username,neutral,username,0,2020-03-18,development
"Maaf min, apakah pelayanan di dinas kesehatan tetep dibuka?",neutral,username,0,2020-03-18,development
"Min, pemberian vaksin PCV bisa di puskesmas gak? 🙏",neutral,username,0,2020-03-18,development
@username @username @username,neutral,username,0,2020-03-18,development
"selamat sore pak/ ibu , saya mewakili temen2 tenaga medis khususnya klinik pratama maupun klinik utama, mohon untuk memberikan akses untuk pembelian kebutuhan masker, handsanitazer, dan alkohol 70%, mengingat kondisi kayak gini kami kesusahan untuk membeli barang2 tersebut dengan jumlah yang agak banyak untuk persediaan di klinik kami , dan ada beberapa alkes yang tidak memberikan izin untuk pembelian barang2 tersebut dengan jumlah banyak dan diwajibkan pembelian yang di samakan dengan masyarakat umum, padahal kebutuhan kami lebih penting karena pada umumnya masyarakat akan datang ke klinik dulu sebelum datang ke rumah sakit, mayoritas masyarakat banyak yang menggunakan BPJS, untuk itu kami mohon bapak/ ibu bisa memberikan akses yang lebih mudah untuk kami tenaga medis yang di klinik, terimakasih",negative,username,0,2020-03-19,development
sy mengirimkan pesan melalui DM.. mohon informasinya 🙏🏻🙏🏻🙏🏻,neutral,username,0,2020-03-19,development
"Gimana mau mencegah covid 19? Ketersediaan masker, alkohol 70% n sabun antiseptik aja di pasaran langka, kalo adapun pasti mahal, tolong dong di perhatikan lagi kami yg ingin mencegah dengan menyediakan barang2 yg kami butuhkan, yar korbannya gak tambah banyak lagi 🙏🙏🙏🙏",negative,username,0,2020-03-19,development
Semangat Minkes...,positive,username,1,2020-03-20,development
"orang yg harus tetapbekerja diluar bagaimana min???...pegang ini itu kan butuh juga barang langka itu 😥, sedangkan barangnya kosong semua ☹",negative,username,0,2020-03-20,development
Ini jg yg kami sampaian setiap penyuluhan.. stop menyebar hoax🙌🙌🙌,positive,username,0,2020-03-20,development
@username Pakmohon pencerahannya kami sdh merencanakan sdh lama seminar tgl 29 Maret ini apakah kami tunda apa kami lanjutkan apakah kami melanggar aturan sedangkan pihak hotel disemarang memperbolehkan dilanjutkan mohon pencerahannya. Terimakasih,neutral,username,0,2020-03-21,development
@username Pak mohon pencerahannya kami sdh merencanakan sdh lama seminar tgl 29 Maret ini apakah kami tunda apa kami lanjutkan apakah kami melanggar aturan sedangkan pihak hotel disemarang memperbolehkan dilanjutkan mohon pencerahannya. Terimakasih,neutral,username,0,2020-03-21,development
@username Pak mohon pencerahannya kami sdh merencanakan sdh lama seminar tgl 29 Maret ini apakah kami tunda apa kami lanjutkan apakah kami melanggar aturan sedangkan pihak hotel disemarang memperbolehkan dilanjutkan mohon pencerahannya. Terimakasih,neutral,username,0,2020-03-21,development
Min.. Tanya bole ... Ini ponakan saya akan nikah di tgl 29 maret gimana ya min .. Soalnya gedung sdh dilunasi katering jg dll nya .. Solusinya gimana min,neutral,username,0,2020-03-22,development
"klo hanya berada dalam 1 ruangan dengan yg baru dtg dari LN singapura, lalu kurun waktu 14 hari ada batuk pilek tanpa demam bagaimana lur?",neutral,username,0,2020-03-22,development
"Maaf nih min @username mau tanya,untuk kasus yg tidak menunjukkan tanda atau ciri2 tp masih tetap kena bagaimana?kan ada tuh yg begitu....🙏",neutral,username,0,2020-03-22,development
"Min, kalo rapid test udah ada di Semarang, skema/protokol buat masyarakat umum yg ingin test gimana? Udah siap belom?",neutral,username,0,2020-03-22,development
Kapan kapan undang dokter dari RS Columbia yaa min 💓,positive,username,0,2020-03-23,development
Mau tanya min.. kalau semisal periksa ke klinik tidak apa min?,neutral,username,0,2020-03-23,development
pak/bu dkk kalau mau adakan resepsi di akhir bln maret ini apakah akan kena sweeping nggih,neutral,username,0,2020-03-23,development
Dkk masih di hotel apa dah blk lagi ke pandanaran ?,neutral,username,0,2020-03-23,development
Chat WA nya banyak tidak dibalas. Mohon dicek ya Pak @username dan Pak @username,negative,username,0,2020-03-24,development
Pak kalo demam menggigil tapi tidak ada batuk pilek apakah perlu ke rs khusus covid,neutral,username,0,2020-03-24,development
Selamat Malam admin! Kami CIMSA FK UNISSULA Semarang telah mengirim pesan berupa undangan kolaborasi dalam hal penanganan dan pencegahan covid-19 besar harapan kami untuk dapat bekerja sama kami tunggu untuk balasannya Terimakasih,positive,username,1,2020-03-24,development
Data ODP dan PDP masih kosong,negative,username,0,2020-03-24,development
Min please baca dm....sebaran tiap kelurahan benar apa hoax....biar masyarakat semarang tercinta yakin akan keamanannya..please..please,negative,username,0,2020-03-24,development
"Saya sudah cek websitenya http://siagacorona.semarangkota.go.id/ secara berkala tiap hari. Saya lihat sudah ada perubahan tampilan penyajian data PDP dan ODP, sekarang jg sudah ada diagramnya. Tapi masih belum cukup pak. Kita harus lebih gesit drpd virusnya Pak 🙏🏼. Pak, mohon info resmi mengenai area persebaran PDP dan ODP di website http://siagacorona.semarangkota.go.id/🙏🏽 karena apa pak? Untuk memerangi info hoax di grup-grup WA pak...",negative,username,0,2020-03-25,development
"Kenapa sebaran di dikecamatan/kelurahan udah gk ada ?? Padahal bisa membantu supaya kita tidak ke daerah tersebut. Padahal awal awalnya web tersebut masih ada sebaran wilayahnya, saya sudah lihat lihat ada yang tulisannya positif dan negatif. Itu membuat kita bisa waspada supaya tidak ke daerah positif tersebut. Terimaksih.",negative,username,0,2020-03-25,development
"Saya sudah cek websitenya http://siagacorona.semarangkota.go.id/ secara berkala tiap hari. Saya lihat sudah ada perubahan tampilan penyajian data PDP dan ODP, sekarang jg sudah ada diagramnya. Tapi masih belum cukup pak. Kita harus lebih gesit drpd virusnya Pak 🙏🏼. Pak, mohon info resmi mengenai area persebaran PDP dan ODP di website http://siagacorona.semarangkota.go.id/🙏🏽 karena apa pak? Untuk memerangi info hoax di grup-grup WA pak...",negative,username,0,2020-03-25,development
Adakah data persebaran covid-19 di semarang? Per kecamatan gitu...agar lebih jelas dan kami sebagai warga bisa menangkal berita hoax..,negative,username,1,2020-03-25,development
"menanggapi dijadikannya rumah dinas walikota semarang sebagai tempat isolasi pasien PDP corona, saya harap pemerintah semarang melakukan penyemprotan disinfectan sesering mungkin & berkala di daerah pemukiman sekitar rumah dinas walikota, mengingat sekitarnya adalah pemukiman padat penduduk. Apalagi belakang rumah dinas walikota ada panti jompo. Ditambah jika nanti sekolah sudah tidak lagi diliburkan, samping rumah dinas walikota ada sd pak. Mohon lebih diperhatikan agar tidak membuat resah warga sekitar. Suwun 🙏🏻",negative,username,0,2020-03-25,development
"Pak, penyemprotan disinfectan yang di semarang barat kok hanya di pinggir jalan raya? Rumah saya daerah belakang rumah dinas walikota, jalan depan rumah saya juga gak disemprot, malah hanya penyemprotan di jalan raya nya saja 🙃",negative,username,0,2020-03-26,development
#timrebahan,neutral,username,0,2020-03-27,development
Kalo mau tau jumlah odp atau pdp di @username caranya gmn ya min,neutral,username,0,2020-03-28,development
Min . Konsul dokter yang di wa dijawab paling cepat brapa hari ya ? 😔,negative,username,0,2020-03-28,development
"Lur, rilis petunjuk/guidance/protokol untuk menjalankan isolasi mandiri jg pleaseeeee. Sambil nunggu persiapan rumah dinasnya jadi... Petunjuk/guidance/protokol untuk orang yg serumah, dan untuk lingkungan rumahnya. Biar RT RW bisa bantu ODP dan PDP dengan maksimal dan aman tanpa stigma 🙏🏼🙏🏼🙏🏼 at least kalau gabisa kasih info geomapping, rilis bentuk2 empati apa saja yg bisa dilakukan warga (misal nukoke makan, opo masake, opo nukoke obat opo piyelah lur aku yo rafaham mulakno takon) 🙏🏼",negative,username,0,2020-03-28,development
"Lur, rilis protokol untuk menjalankan isolasi mandiri jg ya lur. Protokol untuk ornag yg serumah, dan untuk lingkungan rumahnya. Biar RT RW bisa bantu ODP dan PDP dengan maksimal dan aman tanpa stigma 🙏🏼🙏🏼🙏🏼 at least kalau gabisa kasih info geomapping, rilis bentuk2 empati apa saja yg bisa dilakukan warga (misal nukoke makan, opo masake, opo nukoke obat opo piyelah lur aku yo rafaham mulakno takon) 🙏🏼",negative,username,0,2020-03-28,development
Utk informasi cairan desinfektan yg beredar apakah benar dengan menggunakan bayclin bisa,neutral,username,0,2020-03-28,development
daerah saya ad anggota tni yg pulang dari jkt ...apakah dia termasuk ODP pak,neutral,username,0,2020-03-29,development
Alur/cara melapor adanya ODP gmn ya??,neutral,username,0,2020-03-29,development
@username,neutral,username,0,2020-03-30,development
@username,neutral,username,0,2020-03-30,development
"Mau bertanya ya, admin 🙏 apakah jika ingin meminta data penelitian masih harus datang langsung ke kantor atau bisa online? Makasih",neutral,username,0,2020-03-31,development
Kalau klinik kecantikan masih menerima facial seperti biasa apakah harus diedukasi?,neutral,username,0,2020-04-03,development
"Pak @username @username @username minta tlg warga kebonharjo semarang utara diedukasi. di sana seolah olah tdk terjadi apa apa, semua masih seperti biasa. pada nggak pakai masker, orang tua dan anak masih pada bergerombol dan main di luar rumah. terima kasih pak",negative,username,0,2020-04-03,development
"Pak @username @username @username @username minta tlg warga kebonharjo semarang utara diedukasi tentang covid 19. tdk pakai masker, tdk ada physical distancing. terima kasih",negative,username,0,2020-04-03,development
Puskesmas yg di gedung dkk besok sabtu buka kan min?,neutral,username,0,2020-04-03,development
@username,neutral,username,0,2020-04-04,development
Dibantu ndan @username,neutral,username,1,2020-04-04,development
loh min.. narsum blg doi ambil pasien. nakes dong nih.? hla ko bisa2 ne koar2 ambil pasien positif.??? lockdown daerah A.??? apakah doi punya kewenangan untuk bercuit2 seperti itu kah... lah.. kerahasian pasien menyebar bak virus Corona juga.... sedih saya.,negative,username,2,2020-04-04,development
@username,neutral,username,0,2020-04-04,development
Yg kmrn wek @username,neutral,username,0,2020-04-04,development
Harus di tindak biar ada efek jera. @username,negative,username,1,2020-04-04,development
@username,neutral,username,0,2020-04-04,development
salfok sama spanduk Gong Xi Fa Cai 2570 = tahun 2019,neutral,username,0,2020-04-05,development
Budayakan saring sebelum sharing 👍,positive,username,0,2020-04-05,development
@username 👆,neutral,username,0,2020-04-05,development
"Selamat siang min, mohon dicek dm nya yaa 🙏",neutral,username,0,2020-04-07,development
Ga ada sosialisasi dari puskesmas yaa? Di kampung2 ato rumah ke rumah,negative,username,0,2020-04-07,development
@username aku nak balik semarang yo nggo iki?,neutral,username,0,2020-04-09,development
Cara pengisian gimana pak ...kok masih bingung jalur pengisiannya....,negative,username,0,2020-04-09,development
"ya kalau orangnya yg datang sadar diri min.. kalau enggak, gimana dong? @username",negative,username,0,2020-04-09,development
Tonggoku nembe balek seko jakarta min..kandanane angel soale .,negative,username,0,2020-04-09,development
Kalau anak kos min? Tapi dah lama di Semarang aja gitu gak pulang ?,negative,username,0,2020-04-09,development
@username,neutral,username,0,2020-04-09,development
#dirumahaja sambil menunggu kapan dinas kesehatan semarang mengecek ke rumah rumah warga test covid-19 sekiranya ad yg gejala langsung di ODP isolasi. insya Allah akan lbih cepat teratasi wabah ini.,positive,username,0,2020-04-10,development
Klo saya dr surabaya min gimana nih mau pulang semarang hrs ngisi dlu?,negative,username,0,2020-04-10,development
